,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
408,VEINTE REALES HEALTH CENTER,Rural Health Unit,916.0,Government,C. MOLINA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,VIENTE REALES,,120.9689892,14.7147165
409,VENTANILLA HEALTH CENTER,Rural Health Unit,917.0,Government,2ND FLOOR PASAY PUBLIC MARKET,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 138,,0.0,0.0
410,VITAS HEALTH CENTER,Rural Health Unit,918.0,Government,"VIB COMPOUND, VITAS STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 101,+63 022530054,0.0,0.0
411,WESTERN BICUTAN HEALTH CENTER,Rural Health Unit,919.0,Government,SERVICE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,WESTERN BICUTAN,,121.0317778,14.5141296
412,PAMPLONA III HEALTH CENTER,Rural Health Unit,928.0,Government,VERDANT ACRES,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA TRES,+63 028729664,0.0,0.0
413,CORAZON DE JESUS HEALTH CENTER I,Barangay Health Station,931.0,Government,P.NARCISO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,CORAZON DE JESUS,+63 024127290,121.030151,14.6058923
414,PEMBO HEALTH CENTER,Rural Health Unit,1346.0,Government,SAMPAGUITA CORNER SANTAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PEMBO,+63 027581398,121.0598533,14.5435607
415,SANTA LUCIA MINI FLOODWAY HEALTH CENTER,Rural Health Unit,1435.0,Government,EASTBANK ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTA LUCIA,,121.0971098,14.5825591
416,MANGGAHAN HEALTH CENTER,Rural Health Unit,1436.0,Government,EASTBANK FLOODWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,,121.0936983,14.6018872
417,SANTO TOMAS HEALTH CENTER,Rural Health Unit,1445.0,Government,LB JOSE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTO TOMAS,+63 026281025,121.0829526,14.5614557
418,LAGRO HEALTH CENTER,Rural Health Unit,1447.0,Government,"BLOCK 47 LOT 1 , ASCENSION AVENUE, LAGRO SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GREATER LAGRO,+63 029308815,121.0631906,14.7275742
419,LA PAZ HEALTH CENTER,Rural Health Unit,1449.0,Government,815 ARCHIMEDES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,LA PAZ,+63 028908952,121.0088447,14.5684465
420,SAN ANTONIO HEALTH CENTER,Rural Health Unit,1452.0,Government,8456 MAYAPIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SAN ANTONIO,+63 028972626,121.0038403,14.566075
421,SAN ISIDRO HEALTH CENTER,Rural Health Unit,1462.0,Government,A. SANTOS AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN ISIDRO,+63 028200837,0.0,0.0
422,DON BOSCO HEALTH CENTER,Rural Health Unit,1463.0,Government,"CEYLON STREET, BETTER LIVING SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,DON BOSCO,+63 028236977,0.0,0.0
423,PINAGKAISAHAN HEALTH CENTER,Rural Health Unit,1464.0,Government,DANLIG STREET CORNER TOLENTINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PINAGKAISAHAN,+63 028818128,121.0399602,14.5574149
424,SAGAD HEALTH CENTER,Rural Health Unit,1466.0,Government,ANGELES STREET CORNER FELICIANO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAGAD,+63 026280227,121.0790123,14.5655881
425,KARANGALAN HEALTH CENTER,Rural Health Unit,1467.0,Government,KAGINHAWAHAN STREET KARANGALAN VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,,121.0936983,14.6018872
426,BAGONG ILOG HEALTH CENTER,Rural Health Unit,1469.0,Government,SGT. PASCUA STREET (POOK MALIGAYA),,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG ILOG,+63 026710681,121.06934,14.5653911
427,PEDRO CRUZ HEALTH CENTER,Rural Health Unit,1470.0,Government,F.SEVILLA STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PEDRO CRUZ,+63 027995069,121.0278316,14.6039593
428,NAPICO HEALTH CENTER,Rural Health Unit,1471.0,Government,AMPALAYA STREET NAPICO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MANGGAHAN,,121.0936983,14.6018872
429,BANGCULASI HEALTH CENTER,Rural Health Unit,1474.0,Government,ALPHA STREET,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,BANGCULASI,+63 022818732,120.9518739,14.6500257
430,ISMAR HEALTH CENTER,Rural Health Unit,1475.0,Government,SAMPAGUITA ROAD ISMAR,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,KALAWAAN,+63 026425648,121.086626,14.5487915
431,BAGONG ILOG PUERICULTURE CENTER,Rural Health Unit,1477.0,Government,M. FLORES CORNER AVIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAGONG ILOG,,121.0709156,14.561853
432,CANIOGAN HEALTH CENTER,Rural Health Unit,1478.0,Government,KALINANGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,CANIOGAN,+63 026415110,121.0804169,14.5719448
433,LITTLE BAGUIO HEALTH CENTER,Rural Health Unit,1480.0,Government,ALVIR STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,LITTLE BAGUIO,+63 024012306,121.036097,14.6037986
434,KAPITOLYO HEALTH CENTER,Rural Health Unit,1481.0,Government,SANTA ISABEL CORNER SANTA ROSA BARRIO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,KAPITOLYO,+63 026314397,121.0601574,14.569208
435,WEST CRAME HEALTH CENTER,Rural Health Unit,1483.0,Government,ROAD 10 CORNER ROAD 6,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,WEST CRAME,+63 024108471,121.0503373,14.6047692
436,PASADEÑA HEALTH CENTER,Rural Health Unit,1485.0,Government,187 F. BENITEZ STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PASADE??A,,121.034207,14.607965
437,SANTA LUCIA HEALTH CENTER,Rural Health Unit,1486.0,Government,1 B.S. ANGELES STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,SANTA LUCIA,,121.035387,14.597904
438,SANTA LUCIA HEALTH CENTER,Rural Health Unit,1487.0,Government,CAMIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTA LUCIA,,121.0980222,14.5881883
439,MAYBUNGA HEALTH CENTER,Rural Health Unit,1488.0,Government,DR. SIXTO ANTONIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,+63 026428645,121.0820322,14.578775
440,SAN JUAN CITY HEALTH OFFICE I,Rural Health Unit,1493.0,Government,F. SEVILLA STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,PEDRO CRUZ,+63 027995069,121.0278316,14.6039593
441,PIO DEL PILAR RURAL HEALTH UNIT,Rural Health Unit,1505.0,Government,APOLINARIO STREET CORNER ARGUELLES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PIO DEL PILAR,+63 028450622,121.0120069,14.5531003
442,TAÑONG HEALTH CENTER,Rural Health Unit,1512.0,Government,PHASE 3,1470.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,TAÑONG (POB.),,0.0,0.0
443,BUTING HEALTH CENTER,Rural Health Unit,1691.0,Government,2 CONCHING STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BUTING,+63 026411440,121.0671905,14.5547191
444,SAN RAMON HOSPITAL,Hospital,1794.0,Private,"38 GEN. ORDOÑEZ STREET, RANCHO ESTATE IV",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION DOS,+63 029418040,121.119734,14.6403897
445,SUNRISE HILL THERAPEUTIC COMMUNITY HOSP,Hospital,1801.0,Private,"20 11TH STREET, NEW MANILA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,+63 027246128,121.0437003,14.6760413
446,BARANGAY 12 HEALTH CENTER,Rural Health Unit,1834.0,Government,"BANGAYNGAY STREET, DAGAT-DAGATAN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 12,,120.9654037,14.6537352
447,BAGO BANTAY HEALTH CENTER,Rural Health Unit,1842.0,Government,BUKIDNON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,ALICIA,,120.9992887,14.6670574
448,MALANDAY HEALTH CENTER,Rural Health Unit,1876.0,Government,I. MARCELO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALANDAY,+63 022946951,120.9831648,14.6990294
449,CARDINAL SANTOS MEDICAL CENTER,Hospital,1919.0,Private,WILSON STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,GREENHILLS,+63 027253577,121.0400073,14.5979697
450,PANSOL HEALTH CENTER,Rural Health Unit,1925.0,Government,PLAZA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PANSOL,+63 029235236,121.0800647,14.6515439
451,JOSE FABELLA HEALTH CENTER,Rural Health Unit,1936.0,Government,1004 FERMIN STREET SINGALONG,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,BARANGAY 724,+63 025232857,120.9944432,14.5695716
452,TUNASAN HEALTH CENTER,Rural Health Unit,1944.0,Government,E.RODRIGUEZ AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,TUNASAN,+63 028612849,121.0490467,14.3773987
453,BIGNAY HEALTH CENTER,Rural Health Unit,1949.0,Government,HULO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,BIGNAY,+63 029840291,120.9962356,14.7456648
454,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,Hospital,1981.0,Government,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,+63 029810330,121.0479354,14.6450291
455,SUMILANG HEALTH CENTER,Rural Health Unit,1993.0,Government,"KALAYAAN STREET, OLD BARANGAY HALL",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SUMILANG,+63 026416800,121.0743554,14.556254
456,PASOLO HEALTH CENTER,Rural Health Unit,2007.0,Government,DREAMLAND SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PASOLO,,0.0,0.0
457,CAMARIN 175 HEALTH CENTER,Rural Health Unit,2016.0,Government,"LIBIS STREET, AREA A CAMARIN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 175,,0.0,0.0
458,BF HOMES HEALTH CENTER,Rural Health Unit,2076.0,Government,CONRADO BENITEZ STREET PHASE III,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,B. F. HOMES,+63 028266358,0.0,0.0
459,OLIVAREZ GENERAL HOSPITAL,Hospital,2174.0,Private,DR. A. SANTOS AVE. SUCAT,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN DIONISIO,+63 028258747,0.0,0.0
460,TALON II HEALTH CENTER,Rural Health Unit,2218.0,Government,CYNTHIA UGALDE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON DOS,+63 028728140,0.0,0.0
461,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,Hospital,2232.0,Government,FILINVEST CORPORATE CITY,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 028072628,121.0331069,14.4226115
462,ALABANG HEALTH CENTER,Rural Health Unit,2237.0,Government,LIWASAN NG MGA BAYANI,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,,121.0447081,14.4187079
463,MAHARLIKA VILLAGE HEALTH CENTER,Rural Health Unit,2238.0,Government,1 PANANGAN PANGANDAMAN JR. STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,MAHARLIKA VILLAGE,+63 028377002,121.0550093,14.4976996
464,AIR FORCE GENERAL HOSPITAL,Hospital,2244.0,Government,COL. JESUS VILLAMOR AIR BASE,1309.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 183,+63 028546701,0.0,0.0
465,"MEDICAL CENTER MUNTINLUPA, INC",Hospital,2245.0,Private,38 NATIONAL ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,PUTATAN,+63 028620162,121.0469633,14.4042525
466,M.C. ICASIANO HEALTH CENTER,Rural Health Unit,2263.0,Government,1806 P. GIL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PACO,BARANGAY 812,+63 025640779,121.0023293,14.5781187
467,MANUYO UNO HEALTH CENTER,Rural Health Unit,2282.0,Government,TRAMO ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,MANUYO UNO,+63 028267422,0.0,0.0
468,BARANGKA HEALTH CENTER,Rural Health Unit,2286.0,Government,BONIFACIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,BARANGKA,,121.0809483,14.6324266
469,SUCAT HEALTH CENTER,Rural Health Unit,2298.0,Government,PUROK 3,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,SUCAT,,121.0492766,14.4546106
470,SAN JUAN MEDICAL CENTER,Hospital,2314.0,Government,N.DOMINGO STREET,1500.0,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,BALONG-BATO,+63 027243266,121.0268204,14.6076922
471,BO. SAN JOSE HEALTH CENTER,Rural Health Unit,2317.0,Government,NO. 58 TAGAYTAY STREET CORNER BUAGAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 187,,0.0,0.0
472,PITOGO HEALTH CENTER,Rural Health Unit,2324.0,Government,502 CEBU STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,PITOGO,+63 028825616,121.0467863,14.5571507
473,KALIGAYAHAN HEALTH CENTER,Rural Health Unit,2336.0,Government,58 KINGFISHER STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALIGAYAHAN,,121.0497977,14.6986098
474,SANTA ELENA HEALTH CENTER,Rural Health Unit,2367.0,Government,"W. PAZ STREET, COR. SHOE AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTA ELENA (POB.),,121.1001453,14.6326136
475,BAYANAN HEALTH CENTER (ANNEX),Rural Health Unit,2370.0,Government,"PUROK I BLOCK, 2 DOLLETON STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,BAYANAN,+63 028620124,121.0429524,14.4068795
476,FEU- DR. NICANOR REYES MEDICAL FOUNDATION,Hospital,2407.0,Private,REGALADO AVENUE WEST FAIRVIEW,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,FAIRVIEW,+63 024270213,121.0679851,14.7013316
477,SANTA LUCIA SUPER HEALTH CENTER,Rural Health Unit,2418.0,Government,2ND FLR STA. LUCIA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA LUCIA,,121.0535845,14.7074468
478,KALUMPANG HEALTH CENTER,Rural Health Unit,2427.0,Government,M. H. DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CALUMPANG,+63 023694687,121.0947107,14.6219563
479,MALAMIG HEALTH CENTER,Rural Health Unit,2428.0,Government,CRESTA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MALAMIG,,121.0467171,14.5750534
480,MABINI-J. RIZAL HEALTH CENTER,Rural Health Unit,2431.0,Government,J. RIZAL STREET CORNER A. MABINI STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,MABINI-J. RIZAL,,121.0213254,14.5847136
481,MOTHER TERESAS HOME THAT CARES INC,Hospital,2436.0,Private,257-A ROSARIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,+63 025326773,121.0322327,14.5778449
482,BAGONG LIPUNAN HEALTH CENTER,Rural Health Unit,2437.0,Government,CERTEZA STREET BEATA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 837,+63 025880686,121.0081102,14.5911222
483,MASIKAP HEALTH CENTER,Rural Health Unit,2466.0,Government,"MASIKAP COMPLEX ZONE 5, SANTA ANA (KANAN)",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,SANTA ANA,+63 026436884,121.072206,14.5442907
484,ELIAS ALDANA HEALTH CENTER,Rural Health Unit,2472.0,Government,TRAMO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ELIAS ALDANA,+63 028269511,0.0,0.0
485,VERGARA HEALTH CENTER,Rural Health Unit,2498.0,Government,ILINO CRUZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,VERGARA,,121.0241925,14.5765338
486,LINGUNAN HEALTH CENTER,Rural Health Unit,2520.0,Government,P. GREGORIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,LINGUNAN,+63 022929764,120.9762896,14.7190577
487,TONDO HEALTH CENTER,Rural Health Unit,2524.0,Government,1957 JUAN LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 165,+63 022539524,120.970955,14.618927
488,SALVE REGINA GENERAL HOSPITAL INC.,Hospital,2550.0,Private,LOT A 2A MARCOS H-WAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,DELA PAZ,+63 029337133,121.0881879,14.6221665
489,PINYAHAN HEALTH CENTER,Rural Health Unit,2556.0,Government,37 MALAKAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PINYAHAN,,121.0475791,14.6351187
490,MOTHER REGINA HOSPITAL,Hospital,2561.0,Private,"2 RUBY STREET, DOÑA JUANA SUBDIVISION.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 026412922,121.0890977,14.5884642
491,BASA HEALTH CENTER,Rural Health Unit,2563.0,Government,REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ZAPOTE,+63 028368306,0.0,0.0
492,CONCEPCION UNO HEALTH CENTER,Rural Health Unit,2574.0,Government,J.P. RIZAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION UNO,,121.103567,14.6566419
493,LIBIS HEALTH CENTER,Rural Health Unit,2624.0,Government,L. PASCO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,LIBIS,,121.0772212,14.6165947
494,HARAPIN ANG BUKAS HEALTH CENTER,Rural Health Unit,2629.0,Government,GENERAL KALENTONG CORNER SENATOR NEPTALI GONZALES,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HARAPIN ANG BUKAS,+63 025336611,121.0274179,14.5912572
495,DAGUPAN HEALTH CENTER,Rural Health Unit,2635.0,Government,324 MERCADO STREET CORNER DAGUPAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 50,+63 022543684,0.0,0.0
496,MIA HEALTH CENTER,Rural Health Unit,2636.0,Government,MIA ROAD CORNER NAIA AVENUE,1301.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 194,+63 028519702,0.0,0.0
497,AURORA HEALTH CENTER,Rural Health Unit,2651.0,Government,1752 BIAK NA BATO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 251,+63 022524818,120.9775053,14.6153284
498,MARIA CLARA HEALTH CENTER,Rural Health Unit,2675.0,Government,ARAULLO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HAGDANG BATO LIBIS,,120.9921028,14.6093525
499,INTRAMUROS HEALTH CENTER,Rural Health Unit,2696.0,Government,"BALUARTE DE SAN ANDRES, MURALLA STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",INTRAMUROS,BARANGAY 657,,120.9772355,14.5869657
500,SIPAC-ALMACEN HEALTH CENTER,Rural Health Unit,2711.0,Government,A. SANTIAGO STREET,1485.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,SIPAC-ALMACEN,,120.945917,14.6575743
501,TAYABAS HEALTH CENTER,Rural Health Unit,2723.0,Government,2221 MOLAVE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 228,+63 022521401,120.9773954,14.6283043
502,CANUMAY EAST HEALTH CENTER,Rural Health Unit,2733.0,Government,D. BONIFACIO,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,CANUMAY,+63 024450598,120.9934058,14.7200657
503,MEISIC HEALTH CENTER,Rural Health Unit,2770.0,Government,6811 FELIPE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,BARANGAY 288,+63 022442108,120.9731659,14.6046499
504,VALERIANO FUGOSO HEALTH CENTER,Rural Health Unit,2800.0,Government,A. H. LACSON STREET CORNER ARAGON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,,+63 027407470,120.043412,15.7730771
505,ISLA HEALTH CENTER,Rural Health Unit,2822.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,ISLA,+63 024445547,120.9524951,14.7035467
506,"TRINITY WOMAN CHILD CENTER ""THE BIRTHPLACE""",Hospital,2852.0,Private,2732 NEW PANADEROS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 888,+63 025641510,121.017489,14.58429
507,VILLAROSA HOSPITAL,Hospital,2872.0,Private,11 SALALILLA STREET PROJ 4,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MILAGROSA,+63 029139705,121.0665156,14.6219487
508,NEW LOWER BICUTAN HEALTH CENTER,Rural Health Unit,2885.0,Government,PUROK I MANUEL L. QUEZON AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LOWER BICUTAN,,121.0593142,14.4908456
509,VETERANS MEMORIAL MEDICAL CENTER,Hospital,2911.0,Government,"NORTH AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG PAG-ASA,+63 029276426,121.0415018,14.6531372
510,TALON I HEALTH CENTER,Rural Health Unit,2933.0,Government,"REAL STREET, ALABANG - ZAPOTE RD",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON UNO,+63 028011851,0.0,0.0
